system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,SCL,class,year,.geo
1_1_0_0,0.2025,0.0978,0.0291,0.0464,0.0334,0.3072,-0.20541497,0.8038755,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.84050032311072,-0.7361244595717419]}"
1_1_1_0,0.25615,0.1137,0.0355,0.0695,0.0315,0.4264,-0.24943227,0.8624154,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.00255640036588,-0.6729728950981395]}"
1_1_2_0,0.1322,0.0564,0.0232,0.0418,0.0213,0.273,-0.3474827,0.85524976,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.73683473932331,-0.7800520769651865]}"
1_1_3_0,0.1728,0.0698,0.0257,0.0522,0.0219,0.3184,-0.2964169,0.87129,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.69218846970257,-0.8205660962789769]}"
1_1_4_0,0.1718,0.07055,0.02635,0.05585,0.0227,0.367,-0.36228657,0.88350016,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.64547607492837,-0.9194706090605362]}"
1_1_5_0,0.2174,0.0897,0.02715,0.0592,0.03055,0.4234,-0.32147318,0.8654037,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.60630952854075,-0.929082582600615]}"
1_1_6_0,0.2045,0.0849,0.0242,0.058,0.02375,0.4168,-0.34170285,0.8921802,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.58160585822746,-0.9771424503010095]}"
1_1_7_0,0.1803,0.07635,0.0295,0.052,0.0266,0.3612,-0.33407202,0.8628159,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.55618353568688,-0.992952799301513]}"
1_1_8_0,0.1671,0.0629,0.0246,0.04225,0.02295,0.3798,-0.38891935,0.88603354,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.61178925177389,-1.030682041234533]}"
1_1_9_0,0.2149,0.0957,0.04905,0.0654,0.03925,0.3706,-0.26592654,0.8084665,4.0E-4,1,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.6179876272343,-0.9641168786812764]}"
